"Index","Runner","Status","ErrorSample","FailureBucket"
"1","ai_dispatch_coverage_runner.gd","pass","",""
"2","ai_library_composition_runner.gd","error","Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
AI_LIBRARY_COMPOSITE_RESULT passed=0 failed=2

ERROR: Parse JSON failed. Error at line 0: Unknown error getting token
   at: parse_string (core/io/json.cpp:629)
   GDScript backtrace (most recent call first):
       [0] _run (res://tests/ai_library_composition_runner.gd:75)
AI_LIBRARY_COMPOSITE FAIL private fixture parses 
AI_LIBRARY_COMPOSITE FAIL liveness: 1 checks ran, 26 expected â€” a section returned early
","a"
"3","angmar_hud_binding_sweep_runner.gd","fail","RESULT angmar_hud_binding_sweep passed=4 failed=1",""
"4","animation_authored_properties_runtime_runner.gd","pass","",""
"5","animation_speed_factor_range_runner.gd","pass","",""
"6","archer_cadence_runner.gd","error","Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
[RetailSliceSim] structure armor: kind 'farm' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'barracks' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'stable' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'farm' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'barracks' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'archery_range' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
[RetailSliceSim] structure armor: kind 'stable' has no compiled armor.ini table; structure damage uses the recorded provisional scalar 0.25
ARCHER_CADENCE_RESULT passed=51 failed=3 sections=4 checks=53

ERROR: playable_unit_runtime_adapter: clip-1 DelayBetweenShots=0 weapon has no clipReloadTimeMs and ContinuousFireCoast is not an authored *_RELOADTIME_MAX token (expression=2000). Refusing a silent 0 ms reload.
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _resolved_clip_reload_ms (res://src/retail_slice/playable_unit_runtime_adapter.gd:956)
       [1] normalized_unit_rule (res://src/retail_slice/playable_unit_runtime_adapter.gd:730)
       [2] _test_adapter_bridges_the_dropped_clip_reload (res://tests/archer_cadence_runner.gd:168)
       [3] _run (res://tests/archer_cadence_runner.gd:72)
ERROR: playable_unit_runtime_adapter: clip-1 DelayBetweenShots=0 weapon has no clipReloadTimeMs and ContinuousFireCoast is not an authored *_RELOADTIME_MAX token (expression=). Refusing a silent 0 ms reload.
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _resolved_clip_reload_ms (res://src/retail_slice/playable_unit_runtime_adapter.gd:956)
       [1] normalized_unit_rule (res://src/retail_slice/playable_unit_runtime_adapter.gd:730)
       [2] _test_adapter_bridges_the_dropped_clip_reload (res://tests/archer_cadence_runner.gd:182)
       [3] _run (res://tests/archer_cadence_runner.gd:72)
ERROR: ARCHER_CADENCE_FAIL fire_speed_factor_is_the_authored_min
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _check (res://tests/archer_cadence_runner.gd:542)
       [1] _test_firing_animation_finishes_early_at_authored_speed (res://tests/archer_cadence_runner.gd:452)
       [2] _run (res://tests/archer_cadence_runner.gd:76)
SCRIPT ERROR: Invalid assignment of property or key 'attack_fire_speed_factor' with value of type 'float' on a base object of type 'Node3D (RetailBattalion)'.
   at: _test_firing_animation_finishes_early_at_authored_speed (res://tests/archer_cadence_runner.gd:466)
   GDScript backtrace (most recent call first):
       [0] _test_firing_animation_finishes_early_at_authored_speed (res://tests/archer_cadence_runner.gd:466)
       [1] _run (res://tests/archer_cadence_runner.gd:76)
ERROR: ARCHER_CADENCE_FAIL liveness: 4/5 sections reported (adapter-bridge, mounted-pack-cadence, sim-measured-cadence, per-shot-windup)
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _run (res://tests/archer_cadence_runner.gd:80)
ERROR: ARCHER_CADENCE_FAIL liveness: ran 53 checks, expected 56 - a function aborted before its assertions
   at: push_error (core/variant/variant_utility.cpp:1023)
   GDScript backtrace (most recent call first):
       [0] _run (res://tests/archer_cadence_runner.gd:86)
","b"
"7","attach_update_runtime_runner.gd","pass","",""
"8","attack_cursor_runner.gd","error","Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
[ATTACK_CURSOR] pack: res://data/base
[ATTACK_CURSOR] pack: res://mods/example_hard_orcs
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-neutral-vslice/8ab38217d80c443437dfb1adf2c4589466ef77729d9cb39c329a083acf4bc027
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-neutral-vslice/8e192543df7d4352b663ce68dfd34bc2fddce69928f0cb0bd79b283a9082a26b
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-cursors-vslice/11236cb6a57396ccf3bfad7d4406f89dc7e0e95b3d9db34c0063c6c1c1d760d2
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-music-vslice/f10d95389a1ab51a7a20b3f549fc6b90291db51f7e68693e4d157f1a67eada8d
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-angmar-vslice/662cf4579b1de1a58e2475ad649702529180aae25b20c918929f15fa921c13e7
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-dwarves-vslice/e783da9805a341c4161716eb6f2b5135244f97b786e4ce26072a1e79665fae8b
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-elves-vslice/b611283b0768e4cf76ace4cf8ed5ab7219c2f9dcd394470c765710b009d03a24
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-isengard-vslice/2bf5ee4cc86c94d5cdfe735515a94a3e69ea4ac5ee4f8d531b3d356d721ad748
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-mordor-vslice/25ba4870eaa468298f6e0f44c1c92c038c08b8903c9643138443c05c8f33882b
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-wild-vslice/e5b455f96950e3b63c78687b04c46b71ec291f6c48e928e7ea1a5f0fe112d464
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-skirmish-maps-private/f9c14cfa4c25e68509373390741fc82e5892f050a2305a19fa3efaca0f39a5b0
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-playable-maps-private/1739b61386b8242aafee7c46c2f2639f950dd8d5d7292687d2c10702b1e9972b
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-angmar-eva-overlay/96820c3d3abe5379ce36f123fc846810feca3756db625dfeb3ca1202d9ee958c
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-dwarves-eva-overlay/75f1642049f4a491b45901db02600cc70fe78a95909c8d20c6d0c25e146fd13c
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-elves-eva-overlay/51d90549e45b6c04e98a95c10bc03a709e8767c121d6d454a5d71bf338a78ab6
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-isengard-eva-overlay/5228196e4ebd593c0698a65f78ed16aaabb9821c6e51ea6c8626f73fe7960375
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-eva-overlay/c59262c328a3041b3da684cdab826619ee7a3dcee85b68b137e68a869bc8741d
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-mordor-eva-overlay/d7e608b0e0f1a0d4151d6f33cf4fd42fec794c314792d8637f6b68bada627dab
[ATTACK_CURSOR] pack: C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-wild-eva-overlay/98a12fe7b1277b51c23044916e267e7bd86f150da5c14dce61900b0ee1edfc8e
ATTACK_CURSOR_RESULT passed=72 failed=0 tests=7

ERROR: Condition ""CryptoCore::b64_decode(&w[0], buf.size(), &arr_len, (unsigned char *)cstr.get_data(), strlen) != OK"" is true. Returning: Vector<uint8_t>()
   at: base64_to_raw (core/core_bind.cpp:1366)
   GDScript backtrace (most recent call first):
       [0] configure (res://src/retail_slice/retail_cursor_controller.gd:103)
       [1] _test_configure_refuses_malformed_rows (res://tests/attack_cursor_runner.gd:138)
       [2] _run (res://tests/attack_cursor_runner.gd:56)
","b"
"9","attention_selection_runner.gd","pass","",""
"10","authored_field_consumption_runner.gd","pass","",""
"11","auto_deposit_update_runner.gd","pass","",""
"12","banner_carrier_presentation_runner.gd","error","Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

[ModLoader] content source=external active=C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b
[ContentDB] interface-art: 915 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/bfme2-men-vslice/7de517bf146582f10741750b50d63f9955c42d1fe2aa13200757fc6fb29f217a/data/interface-art/index.json
[ContentDB] interface-art: 1115 images from C:/Users/Jonathan/Desktop/open-bfme/workspace/content-packs/rotwk-men-vslice/3be646b007e086152f6136b19549c9ec5a62a099d107e10e635ad5d39c5b317b/data/interface-art/index.json
[ContentDB] legacy-demo: packs=23 units=33 buildings=42 factions=4 powers=10 research=7 maps=4
[ContentDB] playable: factions=7 (angmar, dwarves, elves, isengard, men, mordor, wild) units=137 structures=148 skipped_units=0
  PASS runtime scripts load
  PASS banner visual instantiates
  PASS banner GLB carries idle clips
  PASS house-color masks bind (borrowed pack if the owner pack omitted the file)
  PASS banner visual is authored
  PASS banner AnimationPlayer plays idle (not T-pose bind pose)
BANNER_CARRIER_PRESENTATION_RESULT passed=6 failed=0
ERROR: 6 RID allocations of type 'N13RendererDummy15MaterialStorage13DummyMaterialE' were leaked at exit.
ERROR: 2 RID allocations of type 'N13RendererDummy15MaterialStorage11DummyShaderE' were leaked at exit.
ERROR: 6 RID allocations of type 'N13RendererDummy9DummyMeshE' were leaked at exit.
ERROR: 6 RID allocations of type 'PN13RendererDummy14TextureStorage12DummyTextureE' were leaked at exit.
ERROR: 6 RID allocations of type 'N17RendererSceneCull8InstanceE' were leaked at exit.

ERROR: Pages in use exist at exit in PagedAllocator: N20RasterizerSceneDummy21GeometryInstanceDummyE
   at: ~PagedAllocator (./core/templates/paged_allocator.h:170)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: Leaked instance dependency: Bug - did not call instance_notify_deleted when freeing.
   at: ~Dependency (servers/rendering/storage/utilities.cpp:56)
WARNING: 126 ObjectDB instances were leaked at exit (run with `--verbose` for details).
   at: cleanup (core/object/object.cpp:2535)
","b"
"13","banner_castle_silent_playtest_runner.gd","pass","",""
"14","boot_deferred_options_runner.gd","pass","",""
